lga_id,year,primary_barriers,recommendation
enugu__aninri,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
ebonyi__abakaliki,2013,Elevated under-5 mortality indicators,Maintain services and improve care quality
kwara__pategi,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
jigawa__biriniwa,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
taraba__ussa,2013,Multiple moderate access barriers,Maintain services and improve care quality
sokoto__silame,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
kano__takai,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
fct__bwari,2013,Multiple moderate access barriers,Maintain services and improve care quality
kwara__edu,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
kaduna__jema'a,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
jigawa__gumel,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
sokoto__binji,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
sokoto__kware,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
kebbi__bunza,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
kogi__mopa-muro,2013,Multiple moderate access barriers,Maintain services and improve care quality
sokoto__sokoto_north,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
katsina__musawa,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
delta__ethiope_west,2013,Multiple moderate access barriers,Maintain services and improve care quality
ebonyi__ishielu,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
kebbi__sakaba,2013,Multiple moderate access barriers,Maintain services and improve care quality
kaduna__kudan,2013,Multiple moderate access barriers,Maintain services and improve care quality
kaduna__kachia,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
sokoto__sabon_birni,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
enugu__uzo-uwani,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
kaduna__jaba,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
akwa_ibom__ibesikpo_asutan,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
sokoto__sokoto_south,2013,Multiple moderate access barriers,Maintain services and improve care quality
sokoto__yabo,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
borno__damboa,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
katsina__matazu,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
katsina__sandamu,2013,Multiple moderate access barriers,Maintain services and improve care quality
katsina__mashi,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
katsina__dan_musa,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
kano__kura,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
kaduna__lere,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
katsina__zango,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
sokoto__wurno,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
sokoto__gudu,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
jigawa__gwiwa,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
kebbi__birnin_kebbi,2013,Multiple moderate access barriers,Maintain services and improve care quality
kebbi__suru,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
adamawa__numan,2013,Multiple moderate access barriers,Maintain services and improve care quality
borno__biu,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
kaduna__kaduna_south,2013,Multiple moderate access barriers,Maintain services and improve care quality
borno__dikwa,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
kaduna__zaria,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
kebbi__kalgo,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
jigawa__yankwashi,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
kaduna__kaura,2013,Multiple moderate access barriers,Maintain services and improve care quality
adamawa__lamurde,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
borno__monguno,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
enugu__enugu_east,2013,Multiple moderate access barriers,Maintain services and improve care quality
borno__ngala,2013,Low facility density,Monitor barriers and coordinate targeted interventions
borno__gubio,2013,Low facility density | Limited facility proximity coverage,Monitor barriers and coordinate targeted interventions
kogi__yagba_east,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
borno__chibok,2013,Multiple moderate access barriers,Maintain services and improve care quality
sokoto__tureta,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
taraba__gashaka,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
bauchi__bauchi,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
borno__hawul,2013,Multiple moderate access barriers,Maintain services and improve care quality
akwa_ibom__uruan,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
adamawa__mayo-belwa,2013,Multiple moderate access barriers,Maintain services and improve care quality
adamawa__mubi_south,2013,Multiple moderate access barriers,Maintain services and improve care quality
edo__etsako_west,2013,Multiple moderate access barriers,Maintain services and improve care quality
yobe__fune,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
borno__mobbar,2013,Low facility density | Limited facility proximity coverage,Monitor barriers and coordinate targeted interventions
yobe__potiskum,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
borno__gwoza,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
borno__guzamala,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
adamawa__maiha,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
yobe__gulani,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
taraba__zing,2013,Multiple moderate access barriers,Maintain services and improve care quality
oyo__orelope,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
akwa_ibom__nsit_ibom,2013,Multiple moderate access barriers,Maintain services and improve care quality
adamawa__fufore,2013,Multiple moderate access barriers,Maintain services and improve care quality
akwa_ibom__mkpat_enin,2013,Multiple moderate access barriers,Maintain services and improve care quality
edo__owan_west,2013,Multiple moderate access barriers,Maintain services and improve care quality
borno__kaga,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
taraba__karim_lamido,2013,Multiple moderate access barriers,Maintain services and improve care quality
borno__kukawa,2013,Limited facility proximity coverage,Monitor barriers and coordinate targeted interventions
adamawa__gombi,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
adamawa__guyuk,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
kano__tudun_wada,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
oyo__saki_west,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
adamawa__toungo,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
rivers__abua/odual,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
zamfara__bungudu,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
borno__shani,2013,Multiple moderate access barriers,Maintain services and improve care quality
sokoto__shagari,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
yobe__yunusari,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
adamawa__ganye,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
adamawa__jada,2013,Multiple moderate access barriers,Maintain services and improve care quality
taraba__bali,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
adamawa__shelleng,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
ondo__okitipupa,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
borno__bayo,2013,Multiple moderate access barriers,Maintain services and improve care quality
akwa_ibom__ikot_abasi,2013,Multiple moderate access barriers,Maintain services and improve care quality
borno__maiduguri,2013,Multiple moderate access barriers,Maintain services and improve care quality
yobe__gujba,2013,Multiple moderate access barriers,Priority for mobile clinic outreach and infrastructure support
edo__esan_north-east,2013,Multiple moderate access barriers,Maintain services and improve care quality
bauchi__tafawa-balewa,2013,Multiple moderate access barriers,Maintain services and improve care quality
yobe__nangere,2013,Multiple moderate access barriers,Maintain services and improve care quality
akwa_ibom__ika,2013,Multiple moderate access barriers,Maintain services and improve care quality
bauchi__dambam,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
bauchi__ganjuwa,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
borno__nganzai,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
rivers__ahoada_west,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
adamawa__song,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
delta__oshimili_north,2013,Multiple moderate access barriers,Maintain services and improve care quality
rivers__gokana,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
zamfara__bukkuyum,2013,Elevated under-5 mortality indicators,Priority for mobile clinic outreach and infrastructure support
yobe__damaturu,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
yobe__geidam,2013,Multiple moderate access barriers,Priority for mobile clinic outreach and infrastructure support
yobe__tarmuwa,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
adamawa__madagali,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
adamawa__michika,2013,Multiple moderate access barriers,Maintain services and improve care quality
adamawa__mubi_north,2013,Multiple moderate access barriers,Maintain services and improve care quality
edo__owan_east,2013,Multiple moderate access barriers,Maintain services and improve care quality
adamawa__hong,2013,Multiple moderate access barriers,Maintain services and improve care quality
kano__nassarawa,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
katsina__sabuwa,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
ebonyi__ohaozara,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
zamfara__kaura_namoda,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
katsina__dutsi,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
kano__kabo,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
katsina__dandume,2013,Multiple moderate access barriers,Maintain services and improve care quality
kano__dawakin_tofa,2013,Multiple moderate access barriers,Maintain services and improve care quality
kano__gezawa,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
sokoto__bodinga,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
zamfara__zurmi,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
kano__warawa,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
sokoto__tangaza,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
jigawa__maigatari,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
katsina__danja,2013,Multiple moderate access barriers,Maintain services and improve care quality
kano__fagge,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
katsina__jibia,2013,Multiple moderate access barriers,Maintain services and improve care quality
rivers__eleme,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
kano__bebeji,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
kano__rano,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
kano__tarauni,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
akwa_ibom__etinan,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
ogun__yewa_south,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
kebbi__argungu,2013,Multiple moderate access barriers,Maintain services and improve care quality
kano__kiru,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
katsina__batagarawa,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
delta__bomadi,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
borno__kwaya_kusar,2013,Multiple moderate access barriers,Maintain services and improve care quality
enugu__igbo-etiti,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
kano__doguwa,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
yobe__bade,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
akwa_ibom__itu,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
borno__bama,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
sokoto__gada,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
zamfara__gusau,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
lagos__lagos_mainland,2013,Multiple moderate access barriers,Maintain services and improve care quality
katsina__kaita,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
kano__minjibir,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
akwa_ibom__ini,2013,Multiple moderate access barriers,Maintain services and improve care quality
zamfara__talata_mafara,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
kebbi__gwandu,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
zamfara__birnin_magaji-kiyaw,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
kano__shanono,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
kano__rogo,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
katsina__batsari,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
akwa_ibom__eket,2013,Multiple moderate access barriers,Maintain services and improve care quality
akwa_ibom__okobo,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
kano__kano_municipal,2013,Multiple moderate access barriers,Maintain services and improve care quality
yobe__bursari,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
kebbi__maiyama,2013,Multiple moderate access barriers,Maintain services and improve care quality
lagos__lagos_island,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
kano__madobi,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
jigawa__miga,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
katsina__rimi,2013,Multiple moderate access barriers,Maintain services and improve care quality
kano__gabasawa,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
kebbi__aleiro,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
kano__ungogo,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
sokoto__tambuwal,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
kebbi__jega,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
katsina__katsina,2013,Multiple moderate access barriers,Maintain services and improve care quality
kano__dawakin_kudu,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
kebbi__arewa_dandi,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
akwa_ibom__etim_ekpo,2013,Multiple moderate access barriers,Maintain services and improve care quality
kano__albasu,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
borno__marte,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
kano__kumbotso,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
jigawa__kazaure,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
katsina__malumfashi,2013,Multiple moderate access barriers,Maintain services and improve care quality
enugu__udi,2013,Multiple moderate access barriers,Maintain services and improve care quality
jigawa__dutse,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
jigawa__gwaram,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
kaduna__zangon_kataf,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
jigawa__kiyawa,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
bauchi__zaki,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
rivers__opobo/nkoro,2013,Low facility density,Monitor barriers and coordinate targeted interventions
bauchi__shira,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
bauchi__dass,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
enugu__enugu_north,2013,Multiple moderate access barriers,Maintain services and improve care quality
jigawa__buji,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
akwa_ibom__ukanafun,2013,Multiple moderate access barriers,Maintain services and improve care quality
niger__agaie,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
kano__bagwai,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
kaduna__kajuru,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
niger__katcha,2013,Multiple moderate access barriers,Maintain services and improve care quality
katsina__kafur,2013,Multiple moderate access barriers,Maintain services and improve care quality
kebbi__wasagu-danko,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
niger__bida,2013,Multiple moderate access barriers,Maintain services and improve care quality
bauchi__kirfi,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
kebbi__dandi,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
kebbi__bagudu,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
katsina__kankara,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
bauchi__itas/gadau,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
lagos__apapa,2013,Multiple moderate access barriers,Maintain services and improve care quality
ondo__ondo_east,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
bauchi__warji,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
bauchi__katagum,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
katsina__mani,2013,Multiple moderate access barriers,Maintain services and improve care quality
kaduna__sanga,2013,Multiple moderate access barriers,Maintain services and improve care quality
bauchi__bogoro,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
yobe__fika,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
fct__kuje,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
jigawa__sule_tankarkar,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
oyo__ibadan_north_east,2013,Multiple moderate access barriers,Maintain services and improve care quality
katsina__bindawa,2013,Multiple moderate access barriers,Maintain services and improve care quality
kwara__ilorin_south,2013,Multiple moderate access barriers,Maintain services and improve care quality
bauchi__gamawa,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
jigawa__kafin_hausa,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
ogun__ado_odo/ota,2013,Multiple moderate access barriers,Maintain services and improve care quality
kano__garko,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
kaduna__kubau,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
taraba__wukari,2013,Multiple moderate access barriers,Maintain services and improve care quality
kano__gwarzo,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
rivers__oyigbo,2013,Multiple moderate access barriers,Maintain services and improve care quality
delta__ughelli_south,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
kebbi__fakai,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
jigawa__kaugama,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
edo__esan_central,2013,Multiple moderate access barriers,Maintain services and improve care quality
sokoto__goronyo,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
